;Date;Artiste;Titre;Audio
0;04/11/1984,06/01/1985;Peter et Sloane;Besoin de rien, envie de toi;https://p.scdn.co/mp3-preview/391b635047403beaec61ac63d502ae64ebd84f31?cid=4d3bffd173c84f21ab47981ba6cd15f8
1;30/12/1984,20/01/1985,17/02/1985,03/03/1985;Ray Parker, Jr.;Ghostbusters;https://p.scdn.co/mp3-preview/2682e5cf92bfa5c2dab2bc67bd13bafed3f9fed6?cid=4d3bffd173c84f21ab47981ba6cd15f8
2;03/02/1985,24/02/1985;Jermaine Jackson & Pia Zadora;When the Rain Begins to Fall;https://p.scdn.co/mp3-preview/3f876b890b5cee3eda33873a11a3dce4d98d4220?cid=4d3bffd173c84f21ab47981ba6cd15f8
3;31/03/1985[1],21/04/1985;Jeanne Mas;Johnny, Johnny;https://p.scdn.co/mp3-preview/2b2d40faab471be01a654c38ae92f853d5fb592d?cid=4d3bffd173c84f21ab47981ba6cd15f8
4;05/05/1985;USA for Africa;We Are the World;https://p.scdn.co/mp3-preview/2157889701d1e849f5ee7c5c2b58578d9a9652d4?cid=4d3bffd173c84f21ab47981ba6cd15f8
5;26/05/1985;Chanteurs sans frontières;Éthiopie;https://p.scdn.co/mp3-preview/9ac1fc268f10a674fd0fc7c2ccb30acc7bbeafab?cid=4d3bffd173c84f21ab47981ba6cd15f8
6;21/07/1985;Opus;Live Is Life;https://p.scdn.co/mp3-preview/4c5d8fd3dc108f0b5d103df281e2e91f1f607eb1?cid=4d3bffd173c84f21ab47981ba6cd15f8
7;13/10/1985;Century;Lover Why;https://p.scdn.co/mp3-preview/9727a81f1b89baa26cfe9a9e723c4b9656adbb16?cid=4d3bffd173c84f21ab47981ba6cd15f8
8;01/12/1985;Jean-Jacques Goldman & Michael Jones;Je te donne;https://p.scdn.co/mp3-preview/573009d5e55ea0475eae0855947b60091444be73?cid=4d3bffd173c84f21ab47981ba6cd15f8
9;26/01/1986;Jean-Luc Lahaye;Papa chanteur;https://p.scdn.co/mp3-preview/828820c164aab805f43e34a8b848c28eef4327e3?cid=4d3bffd173c84f21ab47981ba6cd15f8
10;30/03/1986;Gold;Capitaine abandonné;https://p.scdn.co/mp3-preview/7163004795d12a252250b1563a0050abf5335762?cid=4d3bffd173c84f21ab47981ba6cd15f8
11;27/04/1986;Stéphanie;Ouragan;https://p.scdn.co/mp3-preview/a050a3b2b7fbd683f43594565ec138d360ddbb17?cid=4d3bffd173c84f21ab47981ba6cd15f8
12;06/07/1986;Jeanne Mas;En rouge et noir;https://p.scdn.co/mp3-preview/7eac56081606dec9c888288fd35b050fb08170ae?cid=4d3bffd173c84f21ab47981ba6cd15f8
13;20/07/1986;Images;Les Démons de minuit;https://p.scdn.co/mp3-preview/80e59fb544a39140b388cd1263aff724acf1a5d7?cid=4d3bffd173c84f21ab47981ba6cd15f8
14;19/10/1986;MC Miker G & Deejay Sven;Holiday Rap;https://p.scdn.co/mp3-preview/084f2843939dfad98b10c880158a15804998a815?cid=4d3bffd173c84f21ab47981ba6cd15f8
15;02/11/1986;Julie Pietri;Ève lève-toi;https://p.scdn.co/mp3-preview/b197ff8af7deb981d19d3dc00b6f227e6cba0893?cid=4d3bffd173c84f21ab47981ba6cd15f8
16;09/11/1986;Europe;The Final Countdown;https://p.scdn.co/mp3-preview/eaa4589de811f47326f5a15013ed58bd62a9e96a?cid=4d3bffd173c84f21ab47981ba6cd15f8
17;04/01/1987;Elsa;T'en va pas;https://p.scdn.co/mp3-preview/ac415193747e88ccdfa7d156b3a4d57b8366233c?cid=4d3bffd173c84f21ab47981ba6cd15f8
18;01/03/1987;Francis Lalanne;On se retrouvera;https://p.scdn.co/mp3-preview/9a59fd7db0860ab84f4797784b56c5385c825d1d?cid=4d3bffd173c84f21ab47981ba6cd15f8
19;12/04/1987;Licence IV;Viens boire un p'tit coup à la maison;https://p.scdn.co/mp3-preview/36b8eff171c6c69700721ac8dd183f43857df2e2?cid=4d3bffd173c84f21ab47981ba6cd15f8
20;12/07/1987;Madonna;La isla bonita;https://p.scdn.co/mp3-preview/42485e5c4b0cd6dd1fb57b461a3cbe4f74bfc5e9?cid=4d3bffd173c84f21ab47981ba6cd15f8
21;18/10/1987;Los Lobos;La bamba;https://p.scdn.co/mp3-preview/7d99bed1d9ec6051f7ca9391e4cb79e1b66342b4?cid=4d3bffd173c84f21ab47981ba6cd15f8
22;02/01/1988;Guesch Patti;Étienne;https://p.scdn.co/mp3-preview/93fbbcfd30d2fecf0e9500f75625cbaf5719c8eb?cid=4d3bffd173c84f21ab47981ba6cd15f8
23;06/02/1988;Sabrina;Boys (Summertime Love);https://p.scdn.co/mp3-preview/845d218cd0018ea50238799cb6c044856e51d330?cid=4d3bffd173c84f21ab47981ba6cd15f8
24;12/03/1988;Glenn Medeiros;Nothing's Gonna Change My Love for You;https://p.scdn.co/mp3-preview/1498eaddd88655ebca565a8ef9d3be4554259665?cid=4d3bffd173c84f21ab47981ba6cd15f8
25;02/07/1988;Sandy;J'ai faim de toi;https://p.scdn.co/mp3-preview/77ce2530c2488918d45eb6be338aa66640f0aa0c?cid=4d3bffd173c84f21ab47981ba6cd15f8
26;16/07/1988;Début de soirée;Nuit de folie;https://p.scdn.co/mp3-preview/7bb774dbf9965abdceeed3bac12399e7c4a6b8bb?cid=4d3bffd173c84f21ab47981ba6cd15f8
27;17/09/1988;Glenn Medeiros & Elsa;Un roman d'amitié (Friend you give me a reason);https://p.scdn.co/mp3-preview/1498eaddd88655ebca565a8ef9d3be4554259665?cid=4d3bffd173c84f21ab47981ba6cd15f8
28;29/10/1988;Paco;Amor de mis amores;https://p.scdn.co/mp3-preview/02ef3dd5c384ccdaa6348b373081a62984cf2835?cid=4d3bffd173c84f21ab47981ba6cd15f8
29;22/04/1989;Boney M;Megamix;https://p.scdn.co/mp3-preview/945213ef98634cb80d2c85123339095a1fcc652f?cid=4d3bffd173c84f21ab47981ba6cd15f8
30;03/06/1989;Avalanche;Johnny, Johnny Come Home;https://p.scdn.co/mp3-preview/524f8baf5fa50f9125e5078fcaf6dfa24be646a2?cid=4d3bffd173c84f21ab47981ba6cd15f8
31;29/07/1989;Kaoma;Lambada;https://p.scdn.co/mp3-preview/9f1e031aec82989d81e197f5059875b65e3a8139?cid=4d3bffd173c84f21ab47981ba6cd15f8
32;21/10/1989;Philippe Lafontaine;Cœur de loup;https://p.scdn.co/mp3-preview/1722fcc39ce71649ac2bc6f06aaaaab6f166fd57?cid=4d3bffd173c84f21ab47981ba6cd15f8
33;04/11/1989;Jive Bunny and the Mastermixers;Swing The Mood;https://p.scdn.co/mp3-preview/25f27c56054f889e5bb61f36f4a369a777104c72?cid=4d3bffd173c84f21ab47981ba6cd15f8
34;09/12/1989,24/02/1990;Roch Voisine;Hélène;https://p.scdn.co/mp3-preview/2fb36402c758c20cc17caa240e1ec78d05ac412e?cid=4d3bffd173c84f21ab47981ba6cd15f8
35;24/03/1990;Les Vagabonds;Le Temps des yéyés;https://p.scdn.co/mp3-preview/b5ccb11199c9b1a484429cd73c30b25975b2e9a1?cid=4d3bffd173c84f21ab47981ba6cd15f8
36;16/06/1990;Lagaf';Bo le lavabo (WC Kiss);https://p.scdn.co/mp3-preview/434575888d1cd11c26fac69bc171276a06edb075?cid=4d3bffd173c84f21ab47981ba6cd15f8
37;23/06/1990,22/09/1990;Zouk Machine;Maldòn (La musique dans la peau);https://p.scdn.co/mp3-preview/ec866950b6f322745204a486645d185e27afb25d?cid=4d3bffd173c84f21ab47981ba6cd15f8
